"Marca";"Descripcion";"Activo";"Orden"
"101";"Chinos";"Y";"5"
"17";"ROVER";"Y";"392"
"011";"CHERY";"Y";"4"
"012";"FORD";"Y";"9"
"105";"RENAULT";"Y";"69"
"120";"CHEVROLET";"Y";"7"
"64";"PEUGEOT";"Y";"64"
"395";"VOLKSWAGEN";"Y";"396"
"103";"Retenes por medidas";"N";"68"
"104";"Komatsu-Kubota-Yanmar";"Y";"28"
"007";"SSANGYONG";"Y";"45"
"003";"BMW";"Y";"393"
"010";"Chrysler";"Y";"6"
"013";"Daewoo";"Y";"1"
"014";"Daihatsu";"Y";"3"
"018";"Honda";"Y";"13"
"036";"Hyundai";"Y";"16"
"038";"Isuzu";"Y";"17"
"041";"Kia";"Y";"24"
"044";"Mazda";"Y";"29"
"050";"Mitsubishi";"Y";"33"
"053";"Nissan";"Y";"38"
"059";"Proton";"Y";"67"
"062";"Subaru";"Y";"43"
"064";"Suzuki";"Y";"44"
"073";"Toyota";"Y";"56"
"065";"PIAGGIO";"Y";"65"
